Название,Продукт,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Томская область,"Крупы овсяная и перловая, кг",,,"7,32","9,72","12,69","11,74","12,25","16,44","19,57","16,08","21,86","18,73","25,51","27,85","25,64","27,1","32,25","29,53","31,13","33,63","40,75","58,31","53,5"
Томская область,"Овсяные хлопья ""Геркулес"", кг",,,"8,99","12,14","16,66","14,12","14,77","20,19","23,38","21,65","27,96","23,78","29,2","31,48","32,51","32,83","36,41","33,27","30,94","35,26","46,23","53,23","53,86"
Томская область,"Вермишель, кг",,,"18,46","21,3","24,87","25,34","24,31","30,78","40,26","38,29","39,28","38,51","43,72","45,18","50,26","58,02","57,64","57,13","59,25","58,85","66,97","86,87","92,96"
Томская область,"Макаронные изделия из пшеничной муки высшего сорта, кг",,,"22,6","26,24","30,09","30,91","27,95","34,2","44,73","42,53","43,16","43,05","49,54","50,57","57,37","63,31","65,8","67,33","68,61","70,48","84,17","112,55","126,71"
Томская область,"Картофель, кг",,,"7,04","6,96","6,38","11,04","13,26","19,09","18,07","13,94","27,2","13,41","25,88","25,01","24,5","20,67","19,61","22,97","19,88","18,92","26,76","40,98","25,79"
Томская область,"Капуста белокочанная свежая, кг",,,"10,51","10,66","9,64","10,93","13,19","17,25","13,98","12,04","29,45","8,37","19,37","19,04","34,29","24,62","17,29","17,31","25,1","22,07","18,28","60,56","23,98"
Томская область,"Зелень свежая, кг",,,,,,,,,,,,,,,,,,,,,"495,56","634,74","683,99"
Томская область,"Лук репчатый, кг",,,"14,4","14,71","14,49","15,3","18,99","20,38","20,84","19,5","29,95","19,82","21,52","21,63","35,2","26,06","20,79","25,4","21,77","22,07","24,93","28,94","46,92"
Томская область,"Свёкла столовая, кг",,,"10,31","15,63","12,91","16,04","17,81","16,23","19,26","18,73","26,55","19,99","23,39","34,59","35,07","34,77","29,15","31,12","31,37","28,03","30,71","45,58","32,61"
Томская область,"Морковь, кг",,,"11,27","16,07","13,55","17,43","18,49","18,11","20,82","18,5","33,38","20,06","30,02","31,92","41,8","37,27","29,17","31,64","28,09","30,26","36,45","48,8","34,72"
Томская область,"Чеснок, кг",,,"48,53","69,21","51,85","61,66","66,74","75,56","77,93","100,63","147,82","117,21","134,87","119,8","184,95","223,89","262,52","168,06","157,42","215,2","211,34","352,28","251,18"
Томская область,"Огурцы свежие, кг",,,"87,91","91,71","108,06","109,16","141,85","146,2","148,68","155,95","176,96","165,79","146,96","157,45","201,93","200,19","150,13","142,45","155,77","157,68","163,78","190,28","228,18"
Томская область,"Помидоры свежие, кг",,,,,,,"106,44","124,07","129,28","109,62","128,26","123,25","127,4","141,03","183,77","197,18","176,39","161,28","164,41","159,97","186,87","200,95","219,52"
Томская область,"Овощи замороженные, кг",,,,,,,"65,72","77,21","102,2","105,41","116,42","115,42","103,83","115,41","137,47","172,82","179,68","186,31","187,85","192,16","192,55","208,98","276,44"
Томская область,"Яблоки, кг",,,"40,89","42,15","41,77","45,68","49,24","55,51","60,92","64,52","75,26","72,97","78,26","81,25","106,82","112,62","97,59","112,33","109,26","114,98","127,02","127,59","134,15"
Томская область,"Груши, кг",,,,,,,"71,15","76,56","100,55","86,3","92,39","83,53","97,98","99,82","143,78","168,77","132,66","137,36","163,99","167,39","189,26","232,42","226,38"
Томская область,"Апельсины, кг",,,"35,57","39,98","40,46","44,67","45,53","56,95","60,56","67,04","65,53","68,06","73,31","79,61",91,"122,35","93,39","91,97","107,59","105,54","123,51","123,74","139,68"
Томская область,"Виноград, кг",,,,,,,"112,18","148,76","165,47","157,17","172,69","156,64","163,79","151,8","240,87","232,78","201,48","208,41","207,1","203,86","223,29","252,86","277,97"
Томская область,"Лимоны, кг",,,,,,,"49,17","101,6","81,74","78,13","82,66","74,47","92,53","99,78","133,85","163,42","141,98","137,52","138,06","128,25","144,04","154,44","182,77"
Томская область,"Сухофрукты, кг",,,,,,,"81,97","89,74","96,48","104,48",115,"127,39","129,33","129,08","149,25","255,89","252,91","234,88","234,85","214,63","239,31","293,19","405,75"
Томская область,"Бананы, кг",,,"32,72","33,78","31,41","37,17","37,11","44,56","50,67","44,99","58,08","51,32","59,54","56,6","79,38","87,39","77,6","79,12","76,23","88,61","89,76","101,15","108,72"
Томская область,"Орехи, кг",,,,,,,,,"206,94","220,54","231,22","247,3","238,08","259,37","431,3","553,52","535,77","518,41","519,88","488,97","657,93","727,74","743,83"
Томская область,"Водка крепостью 40% об.спирта и выше обыкновенного качества, л",,,"108,18","123,55","135,23","149,09","158,65","170,99","182,32","199,96","214,1","254,53","371,63",,,,,,,,,,
Томская область,"Водка крепостью 40% об. спирта и выше повышенного качества, л",,,,"316,6","326,98","338,87","364,85","434,99","478,58","548,66","579,94","630,18",715,,,,,,,,,,
Томская область,"Водка крепостью 40% об. спирта и выше, л",,,,,,,,,,,,,,"446,07","526,97","553,88","566,43","562,11","568,55","631,38","607,8","639,13",
